state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
IL,148,area_code_408,no,yes,25,230.7,102,39.22,233.8,109,19.87,215.8,90,9.71,13.5,2,3.65,3,680.3,301,68.80000000000001,no
TX,112,area_code_415,no,no,0,210.4,78,35.77,172.4,75,14.65,240.0,105,10.8,11.7,3,3.16,2,622.8,258,61.22,no
VA,100,area_code_415,no,no,0,174.2,93,29.61,235.0,101,19.98,264.2,83,11.89,9.9,7,2.67,1,673.4,277,61.480000000000004,no
WI,92,area_code_415,yes,no,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0,623.8000000000001,279,67.55,no
MT,143,area_code_408,no,yes,22,141.8,116,24.11,167.3,99,14.22,178.1,130,8.01,7.8,3,2.11,1,487.20000000000005,345,46.339999999999996,no
SC,124,area_code_415,no,no,0,160.9,109,27.35,144.2,152,12.26,120.4,97,5.42,12.9,12,3.48,1,425.5,358,45.03,no
NV,105,area_code_408,no,no,0,98.2,103,16.69,140.3,91,11.93,140.2,106,6.31,13.9,1,3.75,1,378.7,300,34.93,no
OH,164,area_code_510,no,yes,27,159.7,102,27.15,168.8,113,14.35,244.1,127,10.98,9.6,9,2.59,3,572.6,342,52.480000000000004,no
MN,136,area_code_415,no,no,0,221.4,120,37.64,249.5,78,21.21,192.0,68,8.64,13.6,2,3.67,0,662.9,266,67.49000000000001,no
MO,83,area_code_510,no,no,0,133.9,82,22.76,169.6,105,14.42,222.8,114,10.03,11.7,4,3.16,0,526.3,301,47.21,no
PA,91,area_code_510,no,no,0,143.2,127,24.34,103.0,89,8.76,233.5,94,10.51,12.7,3,3.43,2,479.7,310,43.61,no
NE,129,area_code_510,no,yes,30,177.3,95,30.14,211.8,102,18.0,240.2,108,10.81,9.3,7,2.51,3,629.3,305,58.95,no
KY,115,area_code_510,no,no,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,394.20000000000005,302,36.0,no
TX,98,area_code_510,no,no,0,86.1,78,14.64,222.7,130,18.93,155.0,124,6.98,9.0,7,2.43,0,463.79999999999995,332,40.55,no
KY,71,area_code_510,no,yes,22,141.4,107,24.04,163.0,105,13.86,220.0,99,9.9,5.6,3,1.51,2,524.4,311,47.8,no
KS,112,area_code_415,no,no,0,109.0,126,18.53,212.7,106,18.08,208.3,92,9.37,7.9,3,2.13,1,530.0,324,45.98,no
FL,106,area_code_408,no,no,0,178.4,143,30.33,247.0,123,21.0,259.9,105,11.7,9.6,2,2.59,0,685.3,371,63.03,no
OR,149,area_code_415,no,no,0,114.5,103,19.47,228.8,100,19.45,135.8,74,6.11,10.7,3,2.89,0,479.1,277,45.03,no
OR,60,area_code_415,no,no,0,207.8,109,35.33,123.5,112,10.5,291.6,115,13.12,5.7,9,1.54,0,622.9000000000001,336,58.949999999999996,no
CA,151,area_code_415,yes,no,0,218.0,57,37.06,114.4,88,9.72,269.2,95,12.11,12.4,1,3.35,0,601.5999999999999,240,58.89,yes
OH,50,area_code_408,no,no,0,167.7,74,28.51,179.9,98,15.29,166.5,73,7.49,10.9,2,2.94,1,514.1,245,51.29,no
OH,65,area_code_408,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,572.8,319,55.57000000000001,no
AZ,113,area_code_510,no,no,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,533.9,302,49.19,yes
TN,114,area_code_415,yes,no,0,200.7,72,34.12,271.2,79,23.05,188.2,97,8.47,13.4,7,3.62,2,660.0999999999999,248,65.64,yes
CO,74,area_code_415,yes,no,0,267.5,134,45.48,242.5,110,20.61,223.0,108,10.04,8.3,4,2.24,3,733.0,352,76.13,yes
MT,28,area_code_415,no,no,0,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6,509.1,282,43.150000000000006,yes
SD,138,area_code_510,no,no,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5.0,3,1.35,3,582.5,283,52.01,no
MN,139,area_code_510,no,yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,457.20000000000005,266,39.75,no
MA,80,area_code_408,no,no,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10.0,2,2.7,2,563.0999999999999,257,52.35000000000001,no
TN,93,area_code_415,no,yes,21,213.8,103,36.35,257.7,72,21.9,218.4,114,9.83,7.2,6,1.94,1,689.9,289,68.08,no
MA,150,area_code_408,no,yes,27,209.8,112,35.67,155.0,80,13.18,251.5,111,11.32,7.2,6,1.94,0,616.3,303,60.17,no
MO,85,area_code_415,no,no,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1,585.1999999999999,333,53.09,no
CO,110,area_code_510,no,no,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1,597.4000000000001,304,54.28,no
MT,113,area_code_415,no,no,0,215.9,93,36.7,240.1,85,20.41,156.7,123,7.05,4.9,5,1.32,3,612.7,301,64.16,no
MI,108,area_code_510,yes,no,0,86.1,97,14.64,227.9,101,19.37,225.8,102,10.16,9.1,3,2.46,3,539.8,300,44.17,no
WV,145,area_code_415,no,no,0,129.4,97,22.0,185.4,101,15.76,204.7,106,9.21,1.1,2,0.3,2,519.5,304,46.97,no
OR,98,area_code_415,no,yes,38,213.7,61,36.33,253.0,104,21.51,207.7,73,9.35,10.7,5,2.89,2,674.4,238,67.19,no
MA,85,area_code_415,no,no,0,274.7,79,46.7,119.4,122,10.15,296.9,74,13.36,9.4,10,2.54,1,691.0,275,70.21000000000001,no
MD,79,area_code_415,no,no,0,81.2,91,13.8,215.7,126,18.33,245.9,85,11.07,10.9,4,2.94,1,542.8,302,43.199999999999996,no
KY,110,area_code_510,no,no,0,99.4,62,16.9,275.0,86,23.38,212.1,94,9.54,16.7,3,4.51,2,586.5,242,49.82,no
NV,96,area_code_408,no,no,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,629.4,188,63.05,no
PA,136,area_code_408,no,no,0,102.1,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0,395.3,264,39.339999999999996,no
WA,47,area_code_415,no,yes,27,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,576.7,302,51.67,no
AR,72,area_code_415,no,yes,27,111.7,68,18.99,252.8,106,21.49,255.5,109,11.5,7.8,4,2.11,1,620.0,283,51.98,no
NV,42,area_code_415,no,no,0,303.9,106,51.66,232.2,54,19.74,147.1,76,6.62,5.8,3,1.57,1,683.1999999999999,236,78.02,yes
OH,92,area_code_415,no,no,0,145.9,90,24.8,148.1,105,12.59,241.3,93,10.86,8.4,1,2.27,2,535.3,288,48.25,no
MA,118,area_code_408,yes,no,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,520.2,318,50.43,no
WV,66,area_code_415,no,no,0,239.6,120,40.73,230.3,110,19.58,153.0,82,6.89,8.6,3,2.32,1,622.9,312,67.19999999999999,no
OR,151,area_code_510,no,no,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,585.5,367,55.24,no
CT,73,area_code_510,no,no,0,159.0,123,27.03,233.3,95,19.83,178.9,155,8.05,15.2,3,4.1,2,571.2,373,54.91,no
AL,182,area_code_415,no,yes,24,128.1,104,21.78,143.4,127,12.19,191.0,98,8.59,11.6,3,3.13,1,462.5,329,42.56,no
TX,150,area_code_408,no,yes,24,212.4,157,36.11,168.7,91,14.34,199.4,112,8.97,9.7,1,2.62,2,580.5,360,59.42,no
SC,100,area_code_408,no,yes,41,306.9,71,52.17,243.3,72,20.68,125.9,114,5.67,10.5,4,2.84,2,676.1,257,78.52,no
DE,60,area_code_510,no,no,0,230.7,66,39.22,165.4,65,14.06,309.1,139,13.91,13.3,10,3.59,1,705.2,270,67.19,no
NC,118,area_code_510,no,yes,31,226.6,99,38.52,164.9,136,14.02,189.3,120,8.52,10.2,5,2.75,3,580.8,355,61.06,no
OH,103,area_code_408,no,yes,29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1,832.3,327,83.78000000000002,no
MO,58,area_code_415,no,no,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1,555.4,358,51.529999999999994,no
DC,59,area_code_415,no,yes,26,205.4,68,34.92,115.0,115,9.78,214.7,130,9.66,9.4,2,2.54,5,535.0999999999999,313,54.36,no
IN,129,area_code_415,no,no,0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,1,508.8,325,49.150000000000006,yes
NY,204,area_code_415,no,no,0,174.3,85,29.63,254.1,95,21.6,176.4,96,7.94,5.9,3,1.59,6,604.8,276,59.17,no
VA,89,area_code_415,no,yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,683.9000000000001,309,67.0,no
AL,12,area_code_408,no,no,0,239.7,112,40.75,221.1,122,18.79,207.3,109,9.33,11.1,3,3.0,2,668.0999999999999,343,68.87,no
MD,61,area_code_415,no,no,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1,705.2,320,72.65,yes
WI,35,area_code_510,no,yes,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1,672.5999999999999,256,66.16,no
MS,108,area_code_415,no,yes,28,221.3,117,37.62,156.0,102,13.26,159.3,80,7.17,8.7,3,2.35,0,536.6,299,58.05,no
MD,79,area_code_415,no,no,0,213.4,107,36.28,176.2,82,14.98,180.1,125,8.1,7.9,4,2.13,0,569.7,314,59.36000000000001,no
VT,105,area_code_510,no,no,0,167.7,93,28.51,234.1,103,19.9,169.7,121,7.64,6.9,5,1.86,3,571.5,317,56.05,no
VT,83,area_code_510,no,yes,37,133.1,117,22.63,171.4,89,14.57,218.1,92,9.81,10.9,4,2.94,3,522.6,298,47.010000000000005,no
NE,90,area_code_415,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,510.1,329,49.849999999999994,no
MO,112,area_code_415,no,no,0,335.5,77,57.04,212.5,109,18.06,265.0,132,11.93,12.7,8,3.43,2,813.0,318,87.03,yes
NE,74,area_code_415,no,yes,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,490.0,262,51.169999999999995,no
IA,130,area_code_415,no,no,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,567.2,294,53.54,no
WY,151,area_code_510,no,no,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,529.3,311,56.53,no
NJ,131,area_code_415,no,no,0,211.8,115,36.01,260.5,102,22.14,144.2,96,6.49,10.8,7,2.92,0,616.5,313,64.64,no
NY,68,area_code_415,no,no,0,267.9,80,45.54,145.4,143,12.36,273.3,119,12.3,14.9,1,4.02,3,686.5999999999999,342,70.2,yes
OR,125,area_code_408,no,yes,32,96.5,109,16.41,145.8,109,12.39,174.4,82,7.85,9.4,2,2.54,1,416.70000000000005,300,36.65,no
DE,87,area_code_415,no,yes,28,202.7,124,34.46,248.9,98,21.16,184.7,50,8.31,14.7,6,3.97,1,636.3,272,63.93000000000001,no
OK,15,area_code_415,no,no,0,121.1,130,20.59,216.0,86,18.36,235.1,33,10.58,16.1,5,4.35,2,572.2,249,49.53,no
WV,78,area_code_408,no,no,0,226.3,88,38.47,306.2,81,26.03,200.9,120,9.04,7.8,11,2.11,1,733.4,289,73.53999999999999,yes
AR,68,area_code_408,no,yes,43,147.7,95,25.11,259.3,108,22.04,237.1,106,10.67,8.9,8,2.4,3,644.1,309,57.82,no
WY,171,area_code_415,no,no,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,626.8,333,64.64999999999999,no
VT,122,area_code_415,no,no,0,136.7,115,23.24,243.1,137,20.66,188.9,110,8.5,8.6,4,2.32,0,568.6999999999999,362,52.4,no
OR,102,area_code_415,no,yes,25,187.5,105,31.88,272.3,88,23.15,216.4,91,9.74,11.7,2,3.16,2,676.2,284,64.77,no
SC,90,area_code_408,no,yes,31,118.5,92,20.15,257.9,76,21.92,186.2,96,8.38,9.0,6,2.43,1,562.5999999999999,264,50.45,no
WY,109,area_code_415,yes,yes,46,165.2,85,28.08,136.0,92,11.56,184.8,100,8.32,11.9,5,3.21,1,486.0,277,47.96,no
TX,86,area_code_408,no,no,0,181.1,124,30.79,229.5,105,19.51,122.2,91,5.5,5.6,6,1.51,5,532.8000000000001,320,55.8,no
WV,43,area_code_415,no,no,0,168.4,125,28.63,243.8,89,20.72,214.7,102,9.66,11.1,2,3.0,1,626.9000000000001,316,59.00999999999999,no
MO,55,area_code_510,no,no,0,189.0,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,555.6,286,53.36,no
VA,102,area_code_510,no,no,0,62.5,68,10.63,222.2,114,18.89,142.4,96,6.41,12.5,5,3.38,1,427.1,278,35.93000000000001,no
VT,122,area_code_408,no,no,0,128.3,89,21.81,237.7,62,20.2,166.6,128,7.5,11.2,5,3.02,1,532.6,279,49.51,no
MA,58,area_code_415,no,yes,30,178.1,111,30.28,236.7,109,20.12,264.0,118,11.88,8.4,2,2.27,0,678.8,338,62.28000000000001,no
TN,61,area_code_415,no,yes,38,139.8,108,23.77,58.3,120,4.96,203.4,160,9.15,9.7,1,2.62,3,401.5,388,37.88,no
WV,68,area_code_415,no,no,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,575.8,235,60.94,no
UT,90,area_code_415,no,no,0,152.3,91,25.89,165.0,120,14.03,294.3,73,13.24,9.0,3,2.43,2,611.6,284,53.160000000000004,no
AK,86,area_code_408,no,no,0,150.8,85,25.64,295.9,88,25.15,247.2,104,11.12,12.5,1,3.38,1,693.9,277,61.91,no
WY,131,area_code_510,no,no,0,110.9,74,18.85,115.6,90,9.83,190.5,114,8.57,15.8,9,4.27,1,417.0,278,37.25,no
RI,90,area_code_510,no,yes,19,214.0,57,36.38,245.3,105,20.85,205.6,68,9.25,10.3,2,2.78,1,664.9,230,66.48,no
IA,200,area_code_415,yes,yes,29,92.2,95,15.67,200.0,101,17.0,119.1,99,5.36,5.7,1,1.54,1,411.29999999999995,295,38.03,yes
OR,177,area_code_408,no,no,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,552.9,252,45.79,no
AZ,100,area_code_415,no,no,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,396.99999999999994,270,41.309999999999995,no
AR,95,area_code_415,no,yes,27,190.8,76,32.44,177.5,104,15.09,227.3,95,10.23,5.9,1,1.59,2,595.6,275,57.760000000000005,no
UT,108,area_code_415,no,no,0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0,576.1999999999999,288,58.82,no
AK,59,area_code_408,no,no,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,465.29999999999995,325,47.57,no
VT,57,area_code_415,no,no,0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0,689.6999999999999,291,61.620000000000005,no
AL,172,area_code_408,no,no,0,270.0,102,45.9,256.6,111,21.81,168.5,104,7.58,12.0,5,3.24,2,695.1,317,75.28999999999999,yes
MS,140,area_code_415,no,no,0,265.0,100,45.05,147.6,89,12.55,247.7,94,11.15,10.7,3,2.89,1,660.3,283,68.75,no
UT,116,area_code_415,no,yes,44,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0,698.7,273,69.23,no
VA,50,area_code_415,yes,no,0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,569.5,272,50.42,yes
ND,79,area_code_408,no,no,0,205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,6.7,18,1.81,1,646.3,337,63.370000000000005,no
CT,37,area_code_408,no,no,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,619.5,341,54.67,no
WA,90,area_code_415,yes,no,0,148.2,96,25.19,220.4,111,18.73,134.2,97,6.04,9.2,1,2.48,4,502.8,304,49.96,yes
OH,80,area_code_415,no,no,0,197.6,83,33.59,164.5,86,13.98,94.0,98,4.23,6.4,6,1.73,1,456.1,267,51.80000000000001,no
MS,123,area_code_415,yes,no,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,506.3,331,43.64,yes
AL,87,area_code_408,no,no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1,633.0999999999999,292,67.04,no
VT,97,area_code_415,no,no,0,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,482.5,304,44.5,no
IL,63,area_code_415,no,yes,26,214.2,80,36.41,253.0,152,21.51,156.4,109,7.04,10.3,2,2.78,2,623.6,341,64.96000000000001,no
WV,70,area_code_510,no,yes,30,143.4,72,24.38,170.0,92,14.45,127.9,68,5.76,9.4,4,2.54,3,441.29999999999995,232,44.589999999999996,no
UT,4,area_code_510,yes,no,0,145.3,89,24.7,303.8,93,25.82,206.1,82,9.27,8.9,4,2.4,0,655.2,264,59.78999999999999,no
AK,141,area_code_408,no,no,0,83.2,74,14.14,190.6,104,16.2,150.5,79,6.77,10.7,7,2.89,1,424.3,257,37.11,no
NM,1,area_code_510,no,yes,26,69.7,84,11.85,250.4,79,21.28,230.2,122,10.36,8.3,3,2.24,2,550.3,285,43.49,no
GA,122,area_code_408,no,no,0,93.3,109,15.86,214.4,104,18.22,176.7,104,7.95,12.1,2,3.27,0,484.4,317,42.03,no
NM,81,area_code_415,no,no,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2,649.5999999999999,258,60.33,no
NE,46,area_code_408,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,637.6,285,64.05,no
NE,88,area_code_408,no,yes,28,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,639.5,325,62.09,no
OR,45,area_code_415,no,yes,32,235.0,85,39.95,240.5,101,20.44,147.1,88,6.62,7.7,3,2.08,2,622.6,274,67.01,no
LA,143,area_code_415,no,no,0,178.2,109,30.29,254.6,93,21.64,241.3,139,10.86,8.5,7,2.3,0,674.0999999999999,341,62.79,no
OH,134,area_code_415,no,no,0,7.8,86,1.33,171.4,100,14.57,186.5,80,8.39,12.9,2,3.48,2,365.70000000000005,266,24.29,no
AR,138,area_code_510,no,no,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3,607.0,341,57.010000000000005,no
NH,133,area_code_408,no,no,0,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1,634.5999999999999,263,57.31,no
ND,56,area_code_510,no,yes,37,153.7,97,26.13,271.4,91,23.07,179.0,121,8.06,8.3,2,2.24,1,604.0999999999999,309,57.260000000000005,no
TN,103,area_code_415,no,no,0,141.3,123,24.02,253.6,87,21.56,215.8,96,9.71,6.4,2,1.73,1,610.7,306,55.29,no
OR,80,area_code_510,no,no,0,203.7,92,34.63,216.4,97,18.39,154.2,66,6.94,7.6,5,2.05,2,574.3,255,59.96,no
MT,25,area_code_415,no,no,0,134.3,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2,532.5,307,48.85,no
VT,146,area_code_510,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,10.5,6,2.84,3,646.2,339,63.39,no
IL,16,area_code_415,yes,no,0,110.0,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,7,1.73,0,447.8,239,39.79,no
MS,131,area_code_415,no,no,0,131.6,95,22.37,179.3,109,15.24,251.2,129,11.3,15.5,3,4.19,1,562.0999999999999,333,48.91,yes
IN,161,area_code_510,no,yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,648.3000000000001,326,67.28999999999999,no
MO,85,area_code_510,no,no,0,165.8,96,28.19,190.0,141,16.15,144.0,116,6.48,10.9,3,2.94,5,499.8,353,50.82000000000001,yes
HI,105,area_code_510,no,no,0,125.4,116,21.32,261.5,95,22.23,241.6,104,10.87,11.4,9,3.08,2,628.5,315,54.419999999999995,no
NE,64,area_code_408,no,no,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,555.2,286,63.64,no
OH,56,area_code_408,no,no,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,571.0999999999999,294,44.26,no
VT,128,area_code_510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,728.2,268,64.22,no
RI,87,area_code_415,no,no,0,210.7,46,35.82,215.6,116,18.33,170.4,79,7.67,13.2,3,3.56,1,596.6999999999999,241,61.82,no
GA,90,area_code_415,no,no,0,68.8,124,11.7,168.1,106,14.29,281.7,96,12.68,9.8,5,2.65,1,518.5999999999999,326,38.67,no
AZ,83,area_code_415,no,yes,41,155.9,122,26.5,162.3,107,13.8,127.6,105,5.74,13.1,5,3.54,3,445.80000000000007,334,46.04,no
MN,125,area_code_415,no,no,0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0,697.1999999999999,241,72.24,yes
CA,125,area_code_510,yes,no,0,158.7,112,26.98,155.7,126,13.23,246.0,110,11.07,8.3,1,2.24,2,560.4,348,51.28,yes
IN,77,area_code_408,no,no,0,185.9,95,31.6,212.0,98,18.02,282.3,81,12.7,11.3,4,3.05,3,680.2,274,62.32000000000001,no
ND,94,area_code_408,no,no,0,174.0,85,29.58,241.1,114,20.49,207.8,94,9.35,7.9,1,2.13,1,622.9000000000001,293,59.419999999999995,no
NJ,77,area_code_415,yes,no,0,323.7,106,55.03,139.2,99,11.83,204.4,89,9.2,8.5,3,2.3,6,667.3,294,76.06,yes
MN,132,area_code_510,no,no,0,121.5,88,20.66,253.0,124,21.51,195.7,120,8.81,10.7,4,2.89,1,570.2,332,50.980000000000004,no
WA,121,area_code_408,no,no,0,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,7.7,2,2.08,2,528.0,308,58.160000000000004,no
WV,102,area_code_408,no,no,0,234.8,125,39.92,199.2,99,16.93,163.2,88,7.34,10.0,1,2.7,4,597.2,312,64.19,no
MS,126,area_code_415,no,no,0,228.7,102,38.88,168.7,99,14.34,223.5,100,10.06,11.8,4,3.19,1,620.9,301,63.28,no
NJ,93,area_code_510,yes,yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,538.5,364,57.23,yes
MT,163,area_code_510,no,yes,23,160.0,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,579.3,286,53.65,no
NY,64,area_code_415,yes,no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,871.6999999999999,236,92.56,yes
MD,163,area_code_510,no,no,0,238.6,107,40.56,178.0,85,15.13,196.0,124,8.82,6.2,4,1.67,1,612.6,316,64.51,no
WV,67,area_code_408,no,no,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,445.8,231,47.74,no
MO,89,area_code_415,no,no,0,178.7,81,30.38,233.7,74,19.86,131.9,120,5.94,9.1,4,2.46,1,544.3,275,56.17999999999999,no
NV,124,area_code_415,no,no,0,234.4,61,39.85,179.3,111,15.24,285.5,117,12.85,10.4,6,2.81,3,699.2,289,67.94,no
MA,166,area_code_415,no,no,0,203.4,81,34.58,167.7,110,14.25,132.0,124,5.94,9.2,5,2.48,2,503.1,315,54.769999999999996,no
MO,90,area_code_408,yes,no,0,207.1,87,35.21,208.5,87,17.72,146.0,95,6.57,4.4,5,1.19,2,561.6,269,59.5,no
HI,35,area_code_415,no,no,0,124.2,102,21.11,123.9,115,10.53,135.7,100,6.11,13.1,8,3.54,2,383.8,317,37.75,no
WI,154,area_code_510,no,no,0,94.5,97,16.07,178.2,127,15.15,230.2,99,10.36,9.2,3,2.48,2,502.9,323,41.58,no
HI,130,area_code_510,no,no,0,126.8,101,21.56,144.1,105,12.25,249.6,117,11.23,11.4,8,3.08,2,520.5,323,45.040000000000006,no
WA,106,area_code_415,no,no,0,149.7,114,25.45,104.5,72,8.88,227.9,87,10.26,9.0,2,2.43,2,482.1,273,44.589999999999996,no
AR,57,area_code_510,no,no,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1,586.3,259,56.81,no
AL,69,area_code_408,no,yes,27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1,670.7,352,66.56,no
WA,63,area_code_408,no,no,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,629.5,251,57.94,no
NJ,126,area_code_415,no,no,0,167.1,138,28.41,154.4,93,13.12,244.5,148,11.0,13.7,10,3.7,3,566.0,379,52.53,no
MA,65,area_code_408,no,no,0,158.3,71,26.91,168.3,119,14.31,139.9,119,6.3,6.6,6,1.78,2,466.5,309,47.519999999999996,no
WI,48,area_code_510,no,no,0,176.9,110,30.07,274.3,114,23.32,115.3,125,5.19,11.0,2,2.97,1,566.5,349,58.58,no
OK,177,area_code_408,no,no,0,175.4,99,29.82,155.3,83,13.2,179.4,86,8.07,11.5,3,3.11,1,510.1,268,51.089999999999996,no
KY,57,area_code_415,no,yes,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,754.7,324,77.86999999999999,no
OH,98,area_code_510,no,yes,29,111.1,105,18.89,217.9,101,18.52,248.1,108,11.16,6.6,3,1.78,2,577.1,314,48.56999999999999,no
NH,54,area_code_510,no,no,0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,542.8,238,58.92,no
HI,105,area_code_510,no,no,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13.0,4,3.51,1,639.2,292,67.92999999999999,no
SC,117,area_code_415,no,yes,35,190.7,100,32.42,209.7,107,17.82,202.5,101,9.11,12.4,5,3.35,1,602.9,308,59.35,no
UT,118,area_code_408,yes,yes,52,123.7,114,21.03,133.2,137,11.32,191.8,102,8.63,7.9,3,2.13,0,448.7,353,40.980000000000004,no
RI,60,area_code_408,no,no,0,194.2,107,33.01,174.0,107,14.79,89.3,83,4.02,11.2,2,3.02,2,457.5,297,51.81999999999999,no
WA,121,area_code_510,no,no,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3,719.7,308,74.96000000000001,yes
CA,73,area_code_415,no,no,0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1,490.09999999999997,259,46.44,yes
MO,123,area_code_415,no,no,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,673.1,299,65.94,no
CT,23,area_code_510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,714.3000000000001,380,82.41,yes
ND,62,area_code_510,no,no,0,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,595.3,308,53.66,no
DE,97,area_code_415,no,yes,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5,656.0,252,63.209999999999994,no
