,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,total_net_minutes,total_net_calls,total_net_charge,churn
791,NJ,46,area_code_408,no,no,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,722.9,265,75.15,yes
1344,KS,105,area_code_415,yes,no,0,273.9,119,46.56,278.6,103,23.68,255.3,90,11.49,10.9,7,2.94,1,807.8,312,81.73,yes
576,NJ,92,area_code_510,no,yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,598.8,332,53.91,no
4033,MD,79,area_code_415,no,no,0,81.2,91,13.8,215.7,126,18.33,245.9,85,11.07,10.9,4,2.94,1,542.8,302,43.199999999999996,no
744,MN,103,area_code_415,no,no,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,420.2,326,45.42,no
3585,FL,91,area_code_415,no,no,0,153.2,70,26.04,231.7,91,19.69,115.1,80,5.18,9.8,3,2.65,4,500.0,241,50.910000000000004,yes
3831,MO,90,area_code_408,yes,no,0,207.1,87,35.21,208.5,87,17.72,146.0,95,6.57,4.4,5,1.19,2,561.6,269,59.5,no
4215,OK,71,area_code_415,no,no,0,123.8,130,21.05,226.5,91,19.25,213.9,96,9.63,8.8,7,2.38,2,564.2,317,49.93,no
1854,AL,121,area_code_415,no,no,0,168.9,128,28.71,123.9,99,10.53,266.3,105,11.98,2.9,7,0.78,2,559.1,332,51.22,no
1185,AZ,104,area_code_408,no,no,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4,602.6999999999999,322,56.839999999999996,no
1612,NY,61,area_code_415,no,no,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,570.9,307,56.5,no
2388,IL,74,area_code_510,no,yes,27,154.1,122,26.2,195.3,150,16.6,276.7,86,12.45,13.2,2,3.56,4,626.0999999999999,358,55.25,no
948,AL,71,area_code_415,no,no,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2,406.6,280,36.75,no
2689,WY,41,area_code_510,no,no,0,223.8,67,38.05,244.8,74,20.81,223.8,156,10.07,12.3,5,3.32,3,692.4000000000001,297,68.93,no
2796,CT,74,area_code_510,no,no,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1,563.8,297,59.05,no
806,MO,142,area_code_415,no,yes,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1,589.8,255,52.419999999999995,no
838,NC,165,area_code_415,no,no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,427.0,294,51.77,no
2406,SC,112,area_code_415,no,no,0,266.0,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2,786.8,291,77.24,yes
949,PA,122,area_code_415,no,no,0,35.1,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1,467.5,209,32.66,no
3642,MI,126,area_code_415,no,no,0,193.1,114,32.83,75.5,61,6.42,186.2,73,8.38,11.1,1,3.0,3,454.8,248,47.63,no
3736,WA,65,area_code_415,no,no,0,189.3,74,32.18,205.3,90,17.45,228.2,78,10.27,8.5,13,2.3,3,622.8,242,59.89999999999999,no
1785,NH,74,area_code_408,no,no,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2,714.1,300,77.44999999999999,yes
3423,LA,69,area_code_415,no,no,0,245.6,128,41.75,173.0,101,14.71,111.8,118,5.03,14.2,7,3.83,2,530.4,347,61.49,no
697,IN,100,area_code_510,no,no,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,570.1999999999999,318,61.31,no
2300,NH,116,area_code_408,no,yes,24,183.6,138,31.21,203.8,90,17.32,166.9,89,7.51,6.0,3,1.62,2,554.3,317,56.04,no
1438,WV,50,area_code_408,no,no,0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5,498.5,311,45.24,yes
182,MS,65,area_code_415,no,no,0,136.1,112,23.14,272.9,96,23.2,220.2,104,9.91,4.4,2,1.19,1,629.2,312,56.25,no
3038,ID,69,area_code_510,yes,no,0,199.7,121,33.95,189.4,92,16.1,264.0,120,11.88,11.1,4,3.0,6,653.1,333,61.93000000000001,yes
1260,NY,64,area_code_408,no,no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,1,677.4,291,70.06,no
1819,VT,48,area_code_415,no,no,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4,578.8,271,56.23,no
1764,MN,122,area_code_415,no,no,0,234.1,101,39.8,200.2,121,17.02,237.4,89,10.68,13.1,9,3.54,2,671.6999999999999,311,67.5,no
2691,SC,36,area_code_408,no,yes,43,29.9,123,5.08,129.1,117,10.97,325.9,105,14.67,8.6,6,2.32,2,484.9,345,30.72,no
3801,NM,143,area_code_415,no,no,0,271.7,67,46.19,189.1,155,16.07,101.1,55,4.55,17.2,5,4.64,1,561.9,277,66.81,no
1388,MO,110,area_code_408,no,no,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,543.3,270,56.52,no
3773,ID,65,area_code_408,no,no,0,96.0,95,16.32,117.0,82,9.95,172.9,114,7.78,6.7,3,1.81,3,385.9,291,34.05,no
2118,AZ,138,area_code_415,no,no,0,87.6,112,14.89,266.9,107,22.69,214.6,104,9.66,9.8,10,2.65,2,569.1,323,47.239999999999995,no
2312,PA,92,area_code_415,yes,no,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,11.7,3,3.16,0,579.7,337,63.77,no
2535,AZ,69,area_code_415,no,yes,31,194.9,63,33.13,191.6,90,16.29,153.0,129,6.89,13.2,2,3.56,2,539.5,282,56.31,no
2750,AK,177,area_code_415,yes,no,0,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,612.9,278,65.57,yes
2767,OR,61,area_code_415,no,no,0,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1,581.5,306,64.11,no
1554,WA,97,area_code_408,no,no,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,708.5,261,74.44,yes
3036,DE,44,area_code_415,no,no,0,225.6,118,38.35,135.4,122,11.51,190.1,96,8.55,12.1,5,3.27,1,551.1,336,58.41,no
1094,ME,79,area_code_415,no,no,0,213.6,110,36.31,234.9,121,19.97,229.6,157,10.33,8.8,3,2.38,2,678.1,388,66.61,no
1376,KY,112,area_code_415,no,no,0,170.5,113,28.99,193.2,129,16.42,188.0,91,8.46,11.2,6,3.02,0,551.7,333,53.87,no
4175,AR,71,area_code_408,no,yes,24,139.8,58,23.77,253.8,110,21.57,252.8,113,11.38,11.1,6,3.0,1,646.4000000000001,281,56.720000000000006,no
939,MA,47,area_code_415,no,no,0,155.3,116,26.4,188.2,85,16.0,247.0,73,11.12,12.3,4,3.32,3,590.5,274,53.519999999999996,no
1408,VA,84,area_code_415,no,no,0,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,713.5999999999999,239,59.5,no
2494,UT,95,area_code_415,no,no,0,157.9,103,26.84,259.6,90,22.07,230.0,117,10.35,14.0,2,3.78,0,647.5,310,59.26,no
2393,VA,99,area_code_510,no,no,0,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2,487.3,338,46.58,no
4211,TX,115,area_code_415,no,no,0,211.1,112,35.89,227.8,113,19.36,179.6,110,8.08,7.2,2,1.94,0,618.5,335,63.33,no
3014,RI,127,area_code_510,no,no,0,211.1,62,35.89,235.2,143,19.99,227.5,66,10.24,15.6,3,4.21,2,673.8,271,66.11999999999999,no
3957,WY,2,area_code_415,no,yes,27,141.7,125,24.09,160.7,136,13.66,170.3,81,7.66,9.3,2,2.51,1,472.7,342,45.41,no
1197,SD,95,area_code_408,no,yes,20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0,624.5999999999999,263,57.45,no
3607,WI,113,area_code_415,no,no,0,126.0,90,21.42,205.8,92,17.49,217.0,121,9.76,12.8,1,3.46,0,548.8,303,48.669999999999995,no
619,FL,116,area_code_415,no,yes,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,682.1,341,64.49,no
2410,SD,116,area_code_415,no,no,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10.0,6,2.7,1,469.6,283,36.92,no
1989,ID,101,area_code_510,no,yes,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,580.0,249,57.92,no
3713,DE,140,area_code_415,no,no,0,143.0,100,24.31,193.4,89,16.44,59.5,81,2.68,12.3,8,3.32,4,395.9,270,43.43,yes
667,GA,135,area_code_415,no,yes,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,591.2,343,61.620000000000005,no
3910,AZ,193,area_code_415,no,no,0,208.1,115,35.38,178.0,104,15.13,195.9,95,8.82,12.4,9,3.35,3,582.0,314,59.330000000000005,no
2339,DC,80,area_code_408,no,no,0,51.5,90,8.76,164.0,98,13.94,169.4,80,7.62,9.5,4,2.57,3,384.9,268,30.32,no
3796,OH,135,area_code_510,no,no,0,112.7,123,19.16,280.0,90,23.8,251.9,110,11.34,10.4,2,2.81,0,644.6,323,54.3,no
1041,OH,147,area_code_415,yes,yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3,780.9,345,70.96000000000001,no
2245,WY,104,area_code_415,no,no,0,138.7,100,23.58,215.4,58,18.31,164.3,98,7.39,4.9,4,1.32,2,518.4000000000001,256,49.28,no
2519,WV,80,area_code_415,no,no,0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0,518.5,298,47.540000000000006,no
2813,ID,127,area_code_408,no,no,0,102.8,128,17.48,143.7,95,12.21,191.4,97,8.61,10.0,5,2.7,1,437.9,320,38.3,no
3428,KS,114,area_code_415,no,no,0,209.2,127,35.56,165.3,93,14.05,196.8,98,8.86,10.6,8,2.86,3,571.3,318,58.47,no
2926,NC,135,area_code_510,no,yes,18,180.1,90,30.62,152.5,65,12.96,258.2,85,11.62,12.7,9,3.43,1,590.8,240,55.199999999999996,no
2335,OK,35,area_code_415,no,no,0,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,747.9,243,67.38,no
2106,WV,84,area_code_408,no,no,0,146.8,133,24.96,171.7,73,14.59,234.5,69,10.55,9.9,3,2.67,1,553.0,275,50.099999999999994,no
869,RI,87,area_code_510,yes,no,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0,472.29999999999995,253,44.629999999999995,no
1382,TN,68,area_code_415,no,no,0,222.8,99,37.88,175.8,85,14.94,202.0,111,9.09,11.0,3,2.97,3,600.6,295,61.91,no
3033,UT,93,area_code_415,no,no,0,174.1,127,29.6,176.8,73,15.03,240.0,111,10.8,10.7,3,2.89,0,590.9,311,55.43000000000001,no
509,WA,166,area_code_408,yes,yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,701.5999999999999,381,58.56999999999999,no
3753,NV,134,area_code_408,no,no,0,107.0,146,18.19,220.0,116,18.7,149.8,108,6.74,7.2,3,1.94,2,476.8,370,43.63,no
2845,HI,158,area_code_510,no,no,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1,629.5,317,60.809999999999995,no
1425,PA,79,area_code_415,no,no,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1,718.4000000000001,313,73.28999999999999,yes
2008,VT,116,area_code_415,no,no,0,129.4,84,22.0,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0,502.20000000000005,250,45.06999999999999,no
785,DE,117,area_code_415,no,no,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,615.0,350,58.44,no
3630,RI,140,area_code_510,no,no,0,187.1,110,31.81,158.0,70,13.43,211.4,123,9.51,8.5,2,2.3,2,556.5,303,54.74999999999999,no
2990,HI,17,area_code_408,no,no,0,168.5,102,28.65,297.2,130,25.26,244.7,117,11.01,8.8,6,2.38,3,710.4,349,64.92,no
105,MS,162,area_code_415,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,383.0,277,32.38,yes
1670,KS,74,area_code_415,no,yes,32,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9.0,4,2.43,1,719.9000000000001,314,66.64,no
1324,IL,179,area_code_408,no,no,0,234.5,134,39.87,164.2,94,13.96,191.4,72,8.61,6.1,4,1.65,1,590.1,300,62.44,no
2042,WV,21,area_code_415,no,no,0,91.9,109,15.62,198.4,111,16.86,171.7,125,7.73,13.0,7,3.51,2,462.0,345,40.209999999999994,no
3172,OH,69,area_code_415,no,no,0,209.6,94,35.63,193.1,106,16.41,239.9,90,10.8,12.4,4,3.35,0,642.6,290,62.84,no
2485,DC,136,area_code_510,no,no,0,204.5,63,34.77,208.8,95,17.75,224.0,119,10.08,9.8,2,2.65,0,637.3,277,62.6,no
947,KS,159,area_code_415,no,yes,19,184.1,78,31.3,194.5,71,16.53,225.6,101,10.15,16.9,3,4.56,0,604.2,250,57.98,no
528,NC,64,area_code_408,no,yes,19,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,545.0,316,52.14,no
3273,NJ,97,area_code_415,no,no,0,259.6,138,44.13,233.9,91,19.88,140.6,119,6.33,13.0,4,3.51,1,634.1,348,70.34,no
3018,DC,138,area_code_415,no,no,0,149.7,99,25.45,160.0,97,13.6,256.5,161,11.54,9.5,5,2.57,1,566.2,357,50.589999999999996,no
4002,OR,91,area_code_408,no,no,0,240.8,105,40.94,192.8,93,16.39,253.4,69,11.4,7.6,3,2.05,4,687.0,267,68.73,no
378,MA,88,area_code_415,no,no,0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4.0,1,670.7,351,73.1,yes
1885,MI,116,area_code_408,no,no,0,133.3,94,22.66,247.8,126,21.06,219.0,78,9.86,11.3,5,3.05,5,600.1,298,53.58,yes
45,CO,141,area_code_415,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,447.7,288,43.21000000000001,no
3016,SD,106,area_code_408,no,yes,27,223.3,97,37.96,212.5,131,18.06,154.6,149,6.96,11.6,2,3.13,1,590.4,377,62.98,no
413,SD,126,area_code_415,no,yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,545.0,316,46.43,no
1782,NY,112,area_code_408,no,yes,30,60.6,113,10.3,165.9,96,14.1,132.8,99,5.98,13.3,7,3.59,0,359.3,308,30.38,no
3206,SD,88,area_code_415,no,no,0,177.8,112,30.23,226.5,80,19.25,221.8,71,9.98,7.9,4,2.13,1,626.1,263,59.46000000000001,no
1053,ME,116,area_code_510,no,no,0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2,582.0,295,62.23,no
3904,MA,57,area_code_415,no,yes,24,140.2,102,23.83,170.1,107,14.46,143.7,102,6.47,14.0,1,3.78,1,453.99999999999994,311,44.76,no
1862,RI,127,area_code_510,no,no,0,96.0,117,16.32,177.0,68,15.05,162.2,127,7.3,9.7,4,2.62,3,435.2,312,38.67,no
3222,NY,81,area_code_415,no,no,0,140.8,97,23.94,211.5,109,17.98,216.9,53,9.76,12.2,4,3.29,0,569.2,259,51.68,no
2915,PA,83,area_code_415,no,no,0,228.4,113,38.83,163.3,103,13.88,248.0,114,11.16,7.8,6,2.11,1,639.7,330,63.870000000000005,no
4101,RI,77,area_code_408,no,no,0,196.6,87,33.42,117.7,103,10.0,124.9,100,5.62,11.4,3,3.08,2,439.20000000000005,290,49.04,no
333,KY,119,area_code_510,no,no,0,222.8,122,37.88,163.2,107,13.87,160.6,112,7.23,11.2,6,3.02,1,546.6,341,58.980000000000004,no
1337,NJ,85,area_code_415,no,no,0,236.9,93,40.27,197.7,113,16.8,309.1,78,13.91,11.4,7,3.08,2,743.7,284,70.98,yes
1485,NM,111,area_code_415,no,no,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4,481.6,293,47.089999999999996,yes
3447,AL,115,area_code_415,no,no,0,265.9,112,45.2,132.9,94,11.3,185.2,106,8.33,14.6,7,3.94,1,584.0,312,64.83,no
2135,AZ,62,area_code_408,no,yes,42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,552.9,259,49.41,no
3326,IN,88,area_code_415,no,no,0,82.7,94,14.06,157.5,130,13.39,205.9,81,9.27,10.6,4,2.86,0,446.1,305,36.72,yes
85,MA,108,area_code_415,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,496.4,315,52.19,no
2652,AL,16,area_code_415,no,no,0,161.9,100,27.52,230.1,138,19.56,148.8,78,6.7,10.2,11,2.75,3,540.8,316,53.78,no
1272,NE,93,area_code_408,no,no,0,152.4,74,25.91,274.6,88,23.34,252.2,120,11.35,6.6,5,1.78,3,679.2,282,60.6,no
1184,TX,98,area_code_408,no,yes,19,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11.0,4,2.97,1,581.9,268,49.11,no
3818,NJ,107,area_code_510,no,no,0,156.3,75,26.57,215.3,93,18.3,118.2,115,5.32,8.8,2,2.38,1,489.8,283,50.190000000000005,no
3175,CT,174,area_code_415,no,no,0,72.2,80,12.27,173.4,81,14.74,130.1,121,5.85,11.0,5,2.97,2,375.70000000000005,282,32.86,no
1656,NE,139,area_code_415,no,no,0,211.1,103,35.89,206.9,108,17.59,193.9,70,8.73,5.6,4,1.51,0,611.9,281,62.21000000000001,no
2683,WI,91,area_code_408,no,yes,44,216.6,101,36.82,173.1,98,14.71,242.1,95,10.89,9.1,3,2.46,1,631.8,294,62.42,no
423,NE,73,area_code_415,no,no,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4.0,3,623.8,282,64.03,no
73,KY,74,area_code_415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,479.6,245,45.78,no
1152,HI,35,area_code_415,no,no,0,124.2,102,21.11,123.9,115,10.53,135.7,100,6.11,13.1,8,3.54,2,383.8,317,37.75,no
2216,ID,135,area_code_510,no,no,0,154.4,130,26.25,203.8,90,17.32,158.7,59,7.14,11.8,3,3.19,0,516.9000000000001,279,50.71,no
2085,NY,137,area_code_510,no,no,0,109.8,120,18.67,230.5,86,19.59,255.8,103,11.51,11.9,6,3.21,1,596.1,309,49.77,no
920,HI,157,area_code_415,no,no,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,593.6,293,67.86000000000001,no
1180,HI,105,area_code_510,no,no,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13.0,4,3.51,1,639.2,292,67.92999999999999,no
657,NJ,24,area_code_408,no,no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,656.9000000000001,293,71.11,yes
884,NH,78,area_code_408,no,no,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,595.3000000000001,302,54.769999999999996,no
238,AL,167,area_code_510,no,no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,595.2,249,58.019999999999996,no
1706,OR,92,area_code_415,no,no,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,549.7,270,56.89999999999999,no
2351,IN,77,area_code_408,no,no,0,185.9,95,31.6,212.0,98,18.02,282.3,81,12.7,11.3,4,3.05,3,680.2,274,62.32000000000001,no
2543,MO,110,area_code_415,no,no,0,178.5,124,30.35,146.9,141,12.49,217.1,102,9.77,9.9,7,2.67,1,542.5,367,52.61,no
738,FL,130,area_code_415,no,no,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,568.0,364,57.53,no
2329,KS,186,area_code_510,no,no,0,137.8,97,23.43,187.7,118,15.95,146.4,85,6.59,8.7,6,2.35,1,471.9,300,45.97,no
127,OK,96,area_code_415,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,675.9,248,68.81,no
1746,MI,127,area_code_510,no,yes,25,203.8,118,34.65,267.1,48,22.7,225.1,105,10.13,7.3,5,1.97,0,696.0,271,67.47999999999999,no
976,VT,50,area_code_415,yes,yes,26,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,8.0,3,2.16,0,771.4,281,84.68,no
3353,WI,48,area_code_510,no,no,0,176.9,110,30.07,274.3,114,23.32,115.3,125,5.19,11.0,2,2.97,1,566.5,349,58.58,no
1791,ID,114,area_code_408,no,yes,19,154.6,100,26.28,241.6,109,20.54,160.0,112,7.2,12.6,1,3.4,3,556.2,321,54.02,no
2478,CO,125,area_code_408,no,yes,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1,506.8,319,46.98,no
1643,WI,123,area_code_415,no,no,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,585.0999999999999,269,54.35,no
471,MN,186,area_code_415,no,yes,26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,547.9000000000001,313,41.03,no
1747,SD,125,area_code_510,no,yes,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,608.1999999999999,322,69.81000000000002,no
4014,CT,161,area_code_510,no,no,0,151.2,89,25.7,228.4,117,19.41,169.3,107,7.62,9.3,2,2.51,2,548.9000000000001,313,52.73,no
4067,VA,100,area_code_415,no,no,0,174.2,93,29.61,235.0,101,19.98,264.2,83,11.89,9.9,7,2.67,1,673.4,277,61.480000000000004,no
554,OR,120,area_code_415,no,no,0,252.0,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,554.0,322,62.44,no
375,SD,91,area_code_510,no,no,0,149.0,115,25.33,245.3,105,20.85,260.0,94,11.7,8.3,3,2.24,0,654.3,314,57.879999999999995,no
1266,ID,96,area_code_408,no,no,0,170.5,86,28.99,277.5,88,23.59,162.5,117,7.31,12.2,6,3.29,1,610.5,291,59.89,no
3477,KY,124,area_code_408,no,no,0,156.9,74,26.67,195.8,82,16.64,181.0,99,8.15,8.8,2,2.38,1,533.7,255,51.46,no
2761,KS,127,area_code_415,no,yes,24,154.8,69,26.32,177.2,105,15.06,207.6,102,9.34,9.0,4,2.43,1,539.6,276,50.72,no
187,IA,126,area_code_408,no,yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,452.29999999999995,300,51.209999999999994,no
1946,MN,46,area_code_408,no,no,0,156.4,105,26.59,185.5,98,15.77,226.7,96,10.2,11.8,3,3.19,1,568.5999999999999,299,52.56,no
1270,MD,136,area_code_415,no,no,0,252.4,74,42.91,167.9,81,14.27,248.3,110,11.17,10.7,3,2.89,2,668.6,265,68.35,no
3041,NJ,139,area_code_415,no,no,0,63.3,116,10.76,177.3,113,15.07,171.6,82,7.72,14.2,4,3.83,1,412.20000000000005,311,33.55,no
3832,FL,131,area_code_408,no,no,0,136.8,84,23.26,179.4,81,15.25,235.2,151,10.58,5.0,3,1.35,2,551.4000000000001,316,49.09,no
3634,SD,57,area_code_510,no,no,0,176.9,75,30.07,204.2,86,17.36,254.1,90,11.43,6.1,4,1.65,1,635.2,251,58.86,no
1336,MT,94,area_code_510,no,no,0,163.5,136,27.8,143.7,111,12.21,253.4,82,11.4,12.6,5,3.4,1,560.6,329,51.410000000000004,no
3778,HI,71,area_code_415,no,no,0,119.9,108,20.38,240.7,82,20.46,151.1,124,6.8,8.1,7,2.19,3,511.70000000000005,314,47.64,no
1206,WY,127,area_code_415,yes,yes,28,95.9,117,16.3,159.5,131,13.56,152.8,132,6.88,10.4,3,2.81,1,408.20000000000005,380,36.74,no
3068,VA,114,area_code_415,no,yes,34,114.5,64,19.47,229.3,84,19.49,288.8,68,13.0,10.4,16,2.81,0,632.6,216,51.959999999999994,no
889,OH,124,area_code_510,no,no,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,455.6,300,48.220000000000006,no
3071,UT,96,area_code_415,no,no,0,125.8,102,21.39,244.4,111,20.77,167.7,90,7.55,9.0,2,2.43,2,537.9,303,49.709999999999994,no
4036,AL,98,area_code_408,no,no,0,207.0,94,35.19,256.3,64,21.79,137.6,60,6.19,10.4,4,2.81,2,600.9,218,63.169999999999995,no
2047,AZ,68,area_code_415,no,no,0,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84,1,600.3000000000001,286,62.2,no
631,UT,112,area_code_415,no,no,0,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,543.7,297,48.68000000000001,no
247,ME,113,area_code_415,no,no,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,641.3,337,64.55000000000001,no
394,GA,141,area_code_510,no,yes,23,149.7,112,25.45,162.5,118,13.81,220.3,115,9.91,7.6,2,2.05,3,532.5,345,49.17,no
1925,IA,100,area_code_408,no,no,0,210.9,85,35.85,329.3,69,27.99,127.1,78,5.72,9.4,5,2.54,4,667.3000000000001,232,69.56,no
4102,AR,68,area_code_408,no,yes,43,147.7,95,25.11,259.3,108,22.04,237.1,106,10.67,8.9,8,2.4,3,644.1,309,57.82,no
82,MS,120,area_code_408,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,588.7,331,61.379999999999995,yes
1193,NM,232,area_code_408,no,no,0,165.6,104,28.15,195.9,115,16.65,118.3,77,5.32,11.8,3,3.19,1,479.8,296,50.12,no
2892,WV,64,area_code_415,no,no,0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,437.7,263,46.64,yes
3814,NM,116,area_code_510,no,no,0,179.0,81,30.43,200.0,116,17.0,168.6,74,7.59,15.8,7,4.27,1,547.6,271,55.019999999999996,no
1292,CA,103,area_code_415,no,yes,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0,492.3,280,47.73,yes
773,NC,43,area_code_415,no,no,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,361.1,316,30.0,no
1380,MD,116,area_code_408,no,no,0,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,6,506.7,238,49.91,yes
2585,ND,149,area_code_408,no,no,0,175.4,80,29.82,197.4,127,16.78,188.2,102,8.47,9.7,2,2.62,2,561.0,309,55.07,no
2635,PA,129,area_code_510,no,yes,32,211.0,99,35.87,155.1,89,13.18,234.8,96,10.57,11.4,5,3.08,1,600.9000000000001,284,59.62,no
1331,HI,106,area_code_415,no,no,0,147.9,97,25.14,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38,2,519.3000000000001,276,50.22,no
278,DE,108,area_code_510,no,no,0,169.6,99,28.83,264.1,87,22.45,206.3,78,9.28,9.3,4,2.51,0,640.0,264,60.56,no
3169,NV,21,area_code_510,no,no,0,197.6,105,33.59,206.4,88,17.54,169.6,143,7.63,9.6,2,2.59,3,573.6,336,58.760000000000005,no
